league,team_id,month_start,index_score_sum,weighted_score_sum,games
mlb,mlb_MIN,2022-07-01,-2,-2,22
mlb,mlb_MIN,2022-08-01,0,0,28
mlb,mlb_MIN,2022-09-01,-6,-6,26
mlb,mlb_MIN,2022-10-01,-3,-3,5
mlb,mlb_MIN,2023-03-01,1,1,1
mlb,mlb_MIN,2023-04-01,4,4,28
mlb,mlb_MIN,2023-05-01,-3,-3,27
mlb,mlb_MIN,2023-06-01,-3,-3,27
mlb,mlb_MIN,2023-07-01,2,2,24
mlb,mlb_MIN,2023-08-01,3,3,27
mlb,mlb_MIN,2023-09-01,9,9,27
mlb,mlb_MIN,2023-10-01,-1,-1,1
