date,City,index_sum,games,index_sum_7d,games_7d
2023-03-14,Anaheim,0,0,-1.0,3.0
2023-03-15,Anaheim,-1,1,-1.0,3.0
2023-03-16,Anaheim,0,0,-1.0,3.0
2023-03-17,Anaheim,1,1,-1.0,3.0
2023-03-18,Anaheim,0,0,-1.0,3.0
2023-03-19,Anaheim,-1,1,-1.0,3.0
2023-03-20,Anaheim,0,0,-1.0,3.0
2023-03-21,Anaheim,-1,1,-2.0,4.0
2023-03-22,Anaheim,0,0,-1.0,3.0
2023-03-23,Anaheim,-1,1,-2.0,4.0
2023-03-24,Anaheim,0,0,-3.0,3.0
2023-03-25,Anaheim,-1,1,-4.0,4.0
2023-03-26,Anaheim,0,0,-3.0,3.0
2023-03-27,Anaheim,-1,1,-4.0,4.0
2023-03-28,Anaheim,0,0,-3.0,3.0
2023-03-29,Anaheim,0,0,-3.0,3.0
2023-03-30,Anaheim,-2,2,-4.0,4.0
2023-03-31,Anaheim,0,0,-4.0,4.0
2023-04-01,Anaheim,0,2,-3.0,5.0
2023-04-02,Anaheim,0,2,-3.0,7.0
2023-04-03,Anaheim,1,1,-1.0,7.0
2023-04-04,Anaheim,-1,1,-2.0,8.0
2023-04-05,Anaheim,0,2,-2.0,10.0
2023-04-06,Anaheim,0,0,0.0,8.0
2023-04-07,Anaheim,-1,1,-1.0,9.0
2023-04-08,Anaheim,0,2,-1.0,9.0
2023-04-09,Anaheim,-2,2,-3.0,9.0
2023-04-10,Anaheim,-1,1,-5.0,9.0
2023-04-11,Anaheim,0,2,-4.0,10.0
2023-04-12,Anaheim,1,1,-3.0,9.0
2023-04-13,Anaheim,-1,1,-4.0,10.0
2023-04-14,Anaheim,-1,1,-4.0,10.0
2023-04-15,Anaheim,-1,1,-5.0,9.0
2023-04-16,Anaheim,-1,1,-4.0,8.0
2023-04-17,Anaheim,1,1,-2.0,8.0
2023-04-18,Anaheim,1,1,-1.0,7.0
2023-04-19,Anaheim,-1,1,-3.0,7.0
2023-04-20,Anaheim,-1,1,-3.0,7.0
2023-04-21,Anaheim,1,1,-1.0,7.0
2023-04-22,Anaheim,-1,1,-1.0,7.0
2023-04-23,Anaheim,1,1,1.0,7.0
2023-04-24,Anaheim,-1,1,-1.0,7.0
2023-04-25,Anaheim,1,1,-1.0,7.0
2023-04-26,Anaheim,1,1,1.0,7.0
2023-04-27,Anaheim,1,1,3.0,7.0
2023-04-28,Anaheim,-1,1,1.0,7.0
2023-04-29,Anaheim,-1,1,1.0,7.0
2023-04-30,Anaheim,1,1,1.0,7.0
2023-05-01,Anaheim,0,0,2.0,6.0
2023-05-02,Anaheim,1,1,2.0,6.0
2023-05-03,Anaheim,1,1,2.0,6.0
2023-05-04,Anaheim,1,1,2.0,6.0
2023-05-05,Anaheim,1,1,4.0,6.0
2023-05-06,Anaheim,-1,1,4.0,6.0
2023-05-07,Anaheim,-1,1,2.0,6.0
2023-05-08,Anaheim,1,1,3.0,7.0
2023-05-09,Anaheim,-1,1,1.0,7.0
2023-05-10,Anaheim,-1,1,-1.0,7.0
2023-05-11,Anaheim,0,0,-2.0,6.0
2023-05-12,Anaheim,1,1,-2.0,6.0
2023-05-13,Anaheim,-1,1,-2.0,6.0
2023-05-14,Anaheim,-1,1,-2.0,6.0
2023-05-15,Anaheim,1,1,-2.0,6.0
2023-05-16,Anaheim,-1,1,-2.0,6.0
2023-05-17,Anaheim,-1,1,-2.0,6.0
2023-05-18,Anaheim,1,1,-1.0,7.0
2023-05-19,Anaheim,1,1,-1.0,7.0
2023-05-20,Anaheim,-1,1,-1.0,7.0
2023-05-21,Anaheim,1,1,1.0,7.0
2023-05-22,Anaheim,1,1,1.0,7.0
2023-05-23,Anaheim,1,1,3.0,7.0
2023-05-24,Anaheim,1,1,5.0,7.0
2023-05-25,Anaheim,0,0,4.0,6.0
2023-05-26,Anaheim,-1,1,2.0,6.0
2023-05-27,Anaheim,-1,1,2.0,6.0
2023-05-28,Anaheim,-1,1,0.0,6.0
2023-05-29,Anaheim,1,1,0.0,6.0
2023-05-30,Anaheim,-1,1,-2.0,6.0
2023-05-31,Anaheim,1,1,-2.0,6.0
2023-06-01,Anaheim,-1,1,-3.0,7.0
2023-06-02,Anaheim,-1,1,-3.0,7.0
2023-06-03,Anaheim,-1,1,-3.0,7.0
2023-06-04,Anaheim,1,1,-1.0,7.0
2023-06-05,Anaheim,0,0,-2.0,6.0
2023-06-06,Anaheim,1,1,0.0,6.0
2023-06-07,Anaheim,1,1,0.0,6.0
2023-06-08,Anaheim,1,1,2.0,6.0
2023-06-09,Anaheim,1,1,4.0,6.0
2023-06-10,Anaheim,-1,1,4.0,6.0
2023-06-11,Anaheim,1,1,4.0,6.0
2023-06-12,Anaheim,1,1,5.0,7.0
2023-06-13,Anaheim,1,1,5.0,7.0
2023-06-14,Anaheim,-1,1,3.0,7.0
2023-06-15,Anaheim,1,1,3.0,7.0
2023-06-16,Anaheim,1,1,3.0,7.0
2023-06-17,Anaheim,-1,1,3.0,7.0
2023-06-18,Anaheim,1,1,3.0,7.0
2023-06-19,Anaheim,0,0,2.0,6.0
2023-06-20,Anaheim,-1,1,0.0,6.0
