city_id,week_start,index_score_sum,weighted_score_sum,games
anaheim-ca,2022-08-23,1,1,7
anaheim-ca,2022-08-30,0,0,6
anaheim-ca,2022-09-06,-2,-2,6
anaheim-ca,2022-09-13,0,0,6
anaheim-ca,2022-09-20,0,0,6
anaheim-ca,2022-09-27,5,5,7
anaheim-ca,2022-10-04,-2,-2,2
anaheim-ca,2023-03-28,2,2,4
anaheim-ca,2023-04-04,-2,-2,6
anaheim-ca,2023-04-11,0,0,6
anaheim-ca,2023-04-18,-1,-1,7
anaheim-ca,2023-04-25,2,2,6
anaheim-ca,2023-05-02,3,3,7
anaheim-ca,2023-05-09,-2,-2,6
anaheim-ca,2023-05-16,1,1,7
anaheim-ca,2023-05-23,0,0,6
anaheim-ca,2023-05-30,-2,-2,6
anaheim-ca,2023-06-06,5,5,7
anaheim-ca,2023-06-13,2,2,6
anaheim-ca,2023-06-20,-2,-2,6
anaheim-ca,2023-06-27,-3,-3,7
anaheim-ca,2023-07-04,-4,-4,4
anaheim-ca,2023-07-11,0,0,4
anaheim-ca,2023-07-18,3,3,5
anaheim-ca,2023-07-25,2,2,6
anaheim-ca,2023-08-01,-7,-7,7
anaheim-ca,2023-08-08,0,0,6
anaheim-ca,2023-08-15,0,0,4
anaheim-ca,2023-08-22,-2,-2,6
anaheim-ca,2023-08-29,-4,-4,6
anaheim-ca,2023-09-05,1,1,7
anaheim-ca,2023-09-12,-5,-5,5
anaheim-ca,2023-09-19,-3,-3,7
anaheim-ca,2023-09-26,1,1,5
anaheim-ca,2024-03-26,0,0,4
anaheim-ca,2024-04-02,2,2,6
anaheim-ca,2024-04-09,-2,-2,6
anaheim-ca,2024-04-16,-5,-5,7
anaheim-ca,2024-04-23,-2,-2,6
anaheim-ca,2024-04-30,-4,-4,6
anaheim-ca,2024-05-07,-1,-1,7
anaheim-ca,2024-05-14,2,2,6
anaheim-ca,2024-05-21,-3,-3,5
anaheim-ca,2024-05-28,-3,-3,7
anaheim-ca,2024-06-04,1,1,5
anaheim-ca,2024-06-11,1,1,7
anaheim-ca,2024-06-18,-1,-1,5
anaheim-ca,2024-06-25,4,4,6
anaheim-ca,2024-07-02,-5,-5,7
anaheim-ca,2024-07-09,2,2,6
anaheim-ca,2024-07-16,0,0,4
anaheim-ca,2024-07-23,0,0,6
anaheim-ca,2024-07-30,0,0,6
anaheim-ca,2024-08-06,-2,-2,6
anaheim-ca,2024-08-13,-4,-4,6
anaheim-ca,2024-08-20,-4,-4,6
anaheim-ca,2024-08-27,0,0,6
anaheim-ca,2024-09-03,-1,-1,7
anaheim-ca,2024-09-10,-6,-6,6
anaheim-ca,2024-09-17,0,0,6
anaheim-ca,2024-09-24,-6,-6,6
arizona,2018-02-27,0,0,2
arizona,2018-03-06,1,1,3
arizona,2018-03-13,0,0,4
arizona,2018-03-20,0,0,4
arizona,2018-03-27,1,1,3
arizona,2018-04-03,-1,-1,3
arizona,2018-10-02,-2,-2,2
arizona,2018-10-09,0,0,2
arizona,2018-10-16,-1,-1,3
arizona,2018-10-23,3,3,3
arizona,2018-10-30,1,1,3
arizona,2018-11-06,-1,-1,3
arizona,2018-11-13,-1,-1,3
arizona,2018-11-20,-3,-3,3
arizona,2018-11-27,3,3,3
arizona,2018-12-04,-1,-1,3
arizona,2018-12-11,-2,-2,4
arizona,2018-12-18,0,0,4
arizona,2018-12-25,-1,-1,3
arizona,2019-01-01,-1,-1,3
arizona,2019-01-08,1,1,3
arizona,2019-01-15,1,1,3
arizona,2019-01-22,0,0,2
arizona,2019-01-29,-2,-2,2
arizona,2019-02-05,-1,-1,3
arizona,2019-02-12,0,0,4
arizona,2019-02-19,3,3,3
arizona,2019-02-26,3,3,3
arizona,2019-03-05,0,0,4
arizona,2019-03-12,0,0,4
arizona,2019-03-19,-3,-3,3
arizona,2019-03-26,1,1,3
arizona,2019-04-02,-1,-1,3
arizona,2019-10-01,-2,-2,2
arizona,2019-10-08,0,0,2
arizona,2019-10-15,3,3,3
arizona,2019-10-22,2,2,4
arizona,2019-10-29,1,1,3
arizona,2019-11-05,-2,-2,4
arizona,2019-11-12,2,2,4
arizona,2019-11-19,-1,-1,3
arizona,2019-11-26,-1,-1,3
arizona,2019-12-03,2,2,4
arizona,2019-12-10,-1,-1,3
arizona,2019-12-17,0,0,4
arizona,2019-12-24,-2,-2,2
arizona,2019-12-31,3,3,3
arizona,2020-01-07,-2,-2,4
arizona,2020-01-14,-1,-1,3
arizona,2020-01-28,-3,-3,3
arizona,2020-02-04,0,0,4
arizona,2020-02-11,0,0,4
arizona,2020-02-18,-1,-1,3
arizona,2020-02-25,0,0,2
arizona,2020-03-03,-1,-1,3
arizona,2020-07-28,1,3,1
arizona,2020-08-04,1,3,3
arizona,2020-08-11,-2,-6,4
arizona,2020-08-18,-1,-3,1
arizona,2021-01-12,-1,-1,3
arizona,2021-01-19,-1,-1,3
arizona,2021-01-26,0,0,2
arizona,2021-02-02,2,2,4
arizona,2021-02-09,-1,-1,3
arizona,2021-02-16,-1,-1,3
arizona,2021-02-23,-1,-1,3
arizona,2021-03-02,2,2,4
arizona,2021-03-09,-3,-3,3
arizona,2021-03-16,-2,-2,4
arizona,2021-03-23,3,3,3
arizona,2021-03-30,2,2,4
arizona,2021-04-06,-4,-4,4
arizona,2021-04-13,-1,-1,3
arizona,2021-04-20,-1,-1,3
arizona,2021-04-27,-2,-2,4
arizona,2021-05-04,1,1,3
arizona,2021-10-12,-3,-3,3
arizona,2021-10-19,-3,-3,3
arizona,2021-10-26,-3,-3,3
arizona,2021-11-02,-1,-1,3
arizona,2021-11-09,-3,-3,3
arizona,2021-11-16,2,2,4
arizona,2021-11-23,-1,-1,3
arizona,2021-11-30,-3,-3,3
arizona,2021-12-07,-2,-2,2
arizona,2021-12-14,0,0,2
arizona,2021-12-28,-1,-1,1
arizona,2022-01-04,-1,-1,3
arizona,2022-01-11,0,0,4
arizona,2022-01-18,-1,-1,3
arizona,2022-01-25,-3,-3,3
arizona,2022-02-01,0,0,2
arizona,2022-02-08,-1,-1,3
arizona,2022-02-15,0,0,2
arizona,2022-02-22,-1,-1,3
arizona,2022-03-01,2,2,2
arizona,2022-03-08,2,2,4
