date,team,index_score,month,league,City
2021-10-23,Nashville Predators,-1,2021-10-01,nhl,Nashville
2021-10-23,New Jersey Devils,1,2021-10-01,nhl,New Jersey
2021-10-23,New York Islanders,1,2021-10-01,nhl,New York
2021-10-23,New York Rangers,1,2021-10-01,nhl,New York
2021-10-23,Ottawa Senators,-1,2021-10-01,nhl,Ottawa
2021-10-23,Philadelphia Flyers,-1,2021-10-01,nhl,Philadelphia
2021-10-23,Pittsburgh Penguins,1,2021-10-01,nhl,Pittsburgh
2021-10-23,Seattle Kraken,-1,2021-10-01,nhl,Seattle
2021-10-23,St. Louis Blues,1,2021-10-01,nhl,St. Louis
2021-10-23,Tampa Bay Lightning,-1,2021-10-01,nhl,Tampa Bay
2021-10-23,Toronto Maple Leafs,-1,2021-10-01,nhl,Toronto
2021-10-23,Vancouver Canucks,1,2021-10-01,nhl,Vancouver
2021-10-23,Washington Capitals,-1,2021-10-01,nhl,Washington
2021-10-23,Winnipeg Jets,1,2021-10-01,nhl,Winnipeg
2021-10-24,Boston Bruins,1,2021-10-01,nhl,Boston
2021-10-24,Chicago Blackhawks,-1,2021-10-01,nhl,Chicago
2021-10-24,Detroit Red Wings,1,2021-10-01,nhl,Detroit
2021-10-24,Minnesota Wild,-1,2021-10-01,nhl,Minnesota
2021-10-24,Nashville Predators,1,2021-10-01,nhl,Nashville
2021-10-24,New York Islanders,1,2021-10-01,nhl,New York
2021-10-24,San Jose Sharks,-1,2021-10-01,nhl,San Jose
2021-10-24,Vegas Golden Knights,-1,2021-10-01,nhl,Vegas
2021-10-25,Arizona Coyotes,-1,2021-10-01,nhl,Arizona
2021-10-25,Buffalo Sabres,1,2021-10-01,nhl,Buffalo
2021-10-25,Calgary Flames,1,2021-10-01,nhl,Calgary
2021-10-25,Carolina Hurricanes,1,2021-10-01,nhl,Carolina
2021-10-25,Columbus Blue Jackets,1,2021-10-01,nhl,Columbus
2021-10-25,Dallas Stars,-1,2021-10-01,nhl,Dallas
2021-10-25,Florida Panthers,1,2021-10-01,nhl,Florida
2021-10-25,Los Angeles Kings,-1,2021-10-01,nhl,Los Angeles
2021-10-25,New York Rangers,-1,2021-10-01,nhl,New York
2021-10-25,Ottawa Senators,-1,2021-10-01,nhl,Ottawa
2021-10-25,St. Louis Blues,1,2021-10-01,nhl,St. Louis
2021-10-25,Tampa Bay Lightning,-1,2021-10-01,nhl,Tampa Bay
2021-10-25,Toronto Maple Leafs,-1,2021-10-01,nhl,Toronto
2021-10-25,Washington Capitals,1,2021-10-01,nhl,Washington
2021-10-26,Anaheim Ducks,-1,2021-10-01,nhl,Anaheim
2021-10-26,Calgary Flames,1,2021-10-01,nhl,Calgary
2021-10-26,Colorado Avalanche,-1,2021-10-01,nhl,Colorado
2021-10-26,Minnesota Wild,1,2021-10-01,nhl,Minnesota
2021-10-26,Montreal Canadiens,-1,2021-10-01,nhl,Montreal
2021-10-26,Nashville Predators,1,2021-10-01,nhl,Nashville
2021-10-26,New Jersey Devils,-1,2021-10-01,nhl,New Jersey
2021-10-26,Pittsburgh Penguins,-1,2021-10-01,nhl,Pittsburgh
2021-10-26,San Jose Sharks,-1,2021-10-01,nhl,San Jose
2021-10-26,Seattle Kraken,1,2021-10-01,nhl,Seattle
2021-10-26,Tampa Bay Lightning,1,2021-10-01,nhl,Tampa Bay
2021-10-26,Vancouver Canucks,-1,2021-10-01,nhl,Vancouver
2021-10-26,Vegas Golden Knights,1,2021-10-01,nhl,Vegas
2021-10-26,Winnipeg Jets,1,2021-10-01,nhl,Winnipeg
2021-10-27,Boston Bruins,-1,2021-10-01,nhl,Boston
2021-10-27,Chicago Blackhawks,-1,2021-10-01,nhl,Chicago
2021-10-27,Dallas Stars,-1,2021-10-01,nhl,Dallas
2021-10-27,Detroit Red Wings,1,2021-10-01,nhl,Detroit
2021-10-27,Edmonton Oilers,-1,2021-10-01,nhl,Edmonton
2021-10-27,Florida Panthers,1,2021-10-01,nhl,Florida
2021-10-27,Philadelphia Flyers,1,2021-10-01,nhl,Philadelphia
2021-10-27,Toronto Maple Leafs,1,2021-10-01,nhl,Toronto
2021-10-27,Vegas Golden Knights,1,2021-10-01,nhl,Vegas
2021-10-27,Washington Capitals,-1,2021-10-01,nhl,Washington
2021-10-28,Anaheim Ducks,-1,2021-10-01,nhl,Anaheim
2021-10-28,Arizona Coyotes,-1,2021-10-01,nhl,Arizona
2021-10-28,Boston Bruins,-1,2021-10-01,nhl,Boston
2021-10-28,Buffalo Sabres,1,2021-10-01,nhl,Buffalo
2021-10-28,Calgary Flames,1,2021-10-01,nhl,Calgary
2021-10-28,Carolina Hurricanes,1,2021-10-01,nhl,Carolina
2021-10-28,Colorado Avalanche,1,2021-10-01,nhl,Colorado
2021-10-28,Los Angeles Kings,-1,2021-10-01,nhl,Los Angeles
2021-10-28,Minnesota Wild,-1,2021-10-01,nhl,Minnesota
2021-10-28,Montreal Canadiens,1,2021-10-01,nhl,Montreal
2021-10-28,Philadelphia Flyers,1,2021-10-01,nhl,Philadelphia
2021-10-28,Pittsburgh Penguins,-1,2021-10-01,nhl,Pittsburgh
2021-10-28,San Jose Sharks,-1,2021-10-01,nhl,San Jose
2021-10-28,Seattle Kraken,1,2021-10-01,nhl,Seattle
2021-10-28,St. Louis Blues,-1,2021-10-01,nhl,St. Louis
2021-10-28,Tampa Bay Lightning,1,2021-10-01,nhl,Tampa Bay
2021-10-28,Vancouver Canucks,-1,2021-10-01,nhl,Vancouver
2021-10-28,Winnipeg Jets,1,2021-10-01,nhl,Winnipeg
2021-10-29,Anaheim Ducks,-1,2021-10-01,nhl,Anaheim
2021-10-29,Arizona Coyotes,-1,2021-10-01,nhl,Arizona
2021-10-29,Carolina Hurricanes,1,2021-10-01,nhl,Carolina
2021-10-29,Chicago Blackhawks,-1,2021-10-01,nhl,Chicago
2021-10-29,Columbus Blue Jackets,-1,2021-10-01,nhl,Columbus
2021-10-29,Dallas Stars,-1,2021-10-01,nhl,Dallas
2021-10-29,Detroit Red Wings,-1,2021-10-01,nhl,Detroit
2021-10-29,Florida Panthers,1,2021-10-01,nhl,Florida
2021-10-29,New York Rangers,1,2021-10-01,nhl,New York
2021-10-29,Ottawa Senators,1,2021-10-01,nhl,Ottawa
2021-10-29,Vegas Golden Knights,1,2021-10-01,nhl,Vegas
2021-10-29,Washington Capitals,1,2021-10-01,nhl,Washington
2021-10-30,Boston Bruins,1,2021-10-01,nhl,Boston
2021-10-30,Calgary Flames,1,2021-10-01,nhl,Calgary
2021-10-30,Chicago Blackhawks,-1,2021-10-01,nhl,Chicago
2021-10-30,Colorado Avalanche,1,2021-10-01,nhl,Colorado
2021-10-30,Detroit Red Wings,-1,2021-10-01,nhl,Detroit
2021-10-30,Edmonton Oilers,1,2021-10-01,nhl,Edmonton
2021-10-30,Florida Panthers,-1,2021-10-01,nhl,Florida
2021-10-30,Los Angeles Kings,1,2021-10-01,nhl,Los Angeles
2021-10-30,Minnesota Wild,-1,2021-10-01,nhl,Minnesota
2021-10-30,Montreal Canadiens,-1,2021-10-01,nhl,Montreal
2021-10-30,Nashville Predators,1,2021-10-01,nhl,Nashville
2021-10-30,New Jersey Devils,1,2021-10-01,nhl,New Jersey
2021-10-30,New York Islanders,-1,2021-10-01,nhl,New York
2021-10-30,Philadelphia Flyers,-1,2021-10-01,nhl,Philadelphia
2021-10-30,Pittsburgh Penguins,-1,2021-10-01,nhl,Pittsburgh
2021-10-30,San Jose Sharks,1,2021-10-01,nhl,San Jose
2021-10-30,St. Louis Blues,1,2021-10-01,nhl,St. Louis
2021-10-30,Toronto Maple Leafs,1,2021-10-01,nhl,Toronto
2021-10-30,Vancouver Canucks,-1,2021-10-01,nhl,Vancouver
2021-10-30,Winnipeg Jets,-1,2021-10-01,nhl,Winnipeg
2021-10-31,Anaheim Ducks,1,2021-10-01,nhl,Anaheim
2021-10-31,Arizona Coyotes,-1,2021-10-01,nhl,Arizona
2021-10-31,Buffalo Sabres,-1,2021-10-01,nhl,Buffalo
2021-10-31,Carolina Hurricanes,1,2021-10-01,nhl,Carolina
2021-10-31,Columbus Blue Jackets,1,2021-10-01,nhl,Columbus
2021-10-31,Los Angeles Kings,1,2021-10-01,nhl,Los Angeles
2021-10-31,Montreal Canadiens,-1,2021-10-01,nhl,Montreal
2021-10-31,New Jersey Devils,-1,2021-10-01,nhl,New Jersey
2021-10-31,New York Rangers,1,2021-10-01,nhl,New York
2021-10-31,Seattle Kraken,-1,2021-10-01,nhl,Seattle
2021-11-01,Chicago Blackhawks,1,2021-11-01,nhl,Chicago
2021-11-01,Edmonton Oilers,1,2021-11-01,nhl,Edmonton
2021-11-01,Ottawa Senators,-1,2021-11-01,nhl,Ottawa
2021-11-01,Seattle Kraken,-1,2021-11-01,nhl,Seattle
2021-11-01,Tampa Bay Lightning,1,2021-11-01,nhl,Tampa Bay
2021-11-01,Washington Capitals,-1,2021-11-01,nhl,Washington
2021-11-02,Anaheim Ducks,1,2021-11-01,nhl,Anaheim
2021-11-02,Arizona Coyotes,-1,2021-11-01,nhl,Arizona
2021-11-02,Buffalo Sabres,-1,2021-11-01,nhl,Buffalo
2021-11-02,Calgary Flames,-1,2021-11-01,nhl,Calgary
2021-11-02,Dallas Stars,-1,2021-11-01,nhl,Dallas
2021-11-02,Detroit Red Wings,-1,2021-11-01,nhl,Detroit
2021-11-02,Minnesota Wild,1,2021-11-01,nhl,Minnesota
2021-11-02,Montreal Canadiens,1,2021-11-01,nhl,Montreal
2021-11-02,Nashville Predators,1,2021-11-01,nhl,Nashville
2021-11-02,New Jersey Devils,-1,2021-11-01,nhl,New Jersey
2021-11-02,New York Rangers,-1,2021-11-01,nhl,New York
2021-11-02,Ottawa Senators,-1,2021-11-01,nhl,Ottawa
2021-11-02,Philadelphia Flyers,1,2021-11-01,nhl,Philadelphia
2021-11-02,San Jose Sharks,1,2021-11-01,nhl,San Jose
2021-11-02,Toronto Maple Leafs,1,2021-11-01,nhl,Toronto
2021-11-02,Vancouver Canucks,1,2021-11-01,nhl,Vancouver
2021-11-02,Vegas Golden Knights,-1,2021-11-01,nhl,Vegas
2021-11-02,Winnipeg Jets,1,2021-11-01,nhl,Winnipeg
2021-11-03,Carolina Hurricanes,1,2021-11-01,nhl,Carolina
2021-11-03,Chicago Blackhawks,-1,2021-11-01,nhl,Chicago
2021-11-03,Colorado Avalanche,-1,2021-11-01,nhl,Colorado
2021-11-03,Columbus Blue Jackets,1,2021-11-01,nhl,Columbus
2021-11-03,Edmonton Oilers,1,2021-11-01,nhl,Edmonton
2021-11-03,Los Angeles Kings,1,2021-11-01,nhl,Los Angeles
2021-11-03,Nashville Predators,-1,2021-11-01,nhl,Nashville
2021-11-03,St. Louis Blues,-1,2021-11-01,nhl,St. Louis
2021-11-04,Boston Bruins,1,2021-11-01,nhl,Boston
2021-11-04,Buffalo Sabres,-1,2021-11-01,nhl,Buffalo
2021-11-04,Calgary Flames,-1,2021-11-01,nhl,Calgary
2021-11-04,Dallas Stars,1,2021-11-01,nhl,Dallas
2021-11-04,Detroit Red Wings,-1,2021-11-01,nhl,Detroit
2021-11-04,Florida Panthers,1,2021-11-01,nhl,Florida
2021-11-04,Montreal Canadiens,-1,2021-11-01,nhl,Montreal
2021-11-04,New York Islanders,1,2021-11-01,nhl,New York
2021-11-04,Ottawa Senators,-1,2021-11-01,nhl,Ottawa
2021-11-04,Philadelphia Flyers,-1,2021-11-01,nhl,Philadelphia
2021-11-04,Pittsburgh Penguins,1,2021-11-01,nhl,Pittsburgh
2021-11-04,San Jose Sharks,-1,2021-11-01,nhl,San Jose
2021-11-04,Seattle Kraken,1,2021-11-01,nhl,Seattle
2021-11-04,St. Louis Blues,1,2021-11-01,nhl,St. Louis
2021-11-04,Tampa Bay Lightning,-1,2021-11-01,nhl,Tampa Bay
2021-11-04,Toronto Maple Leafs,1,2021-11-01,nhl,Toronto
2021-11-04,Vegas Golden Knights,1,2021-11-01,nhl,Vegas
2021-11-04,Washington Capitals,-1,2021-11-01,nhl,Washington
2021-11-05,Anaheim Ducks,1,2021-11-01,nhl,Anaheim
2021-11-05,Arizona Coyotes,-1,2021-11-01,nhl,Arizona
2021-11-05,Chicago Blackhawks,-1,2021-11-01,nhl,Chicago
2021-11-05,Edmonton Oilers,1,2021-11-01,nhl,Edmonton
2021-11-05,Los Angeles Kings,1,2021-11-01,nhl,Los Angeles
2021-11-05,Nashville Predators,1,2021-11-01,nhl,Nashville
2021-11-05,New Jersey Devils,-1,2021-11-01,nhl,New Jersey
2021-11-05,New York Rangers,-1,2021-11-01,nhl,New York
2021-11-05,Vancouver Canucks,-1,2021-11-01,nhl,Vancouver
2021-11-05,Winnipeg Jets,1,2021-11-01,nhl,Winnipeg
2021-11-06,Arizona Coyotes,1,2021-11-01,nhl,Arizona
2021-11-06,Boston Bruins,-1,2021-11-01,nhl,Boston
2021-11-06,Buffalo Sabres,-1,2021-11-01,nhl,Buffalo
2021-11-06,Calgary Flames,1,2021-11-01,nhl,Calgary
2021-11-06,Carolina Hurricanes,-1,2021-11-01,nhl,Carolina
2021-11-06,Colorado Avalanche,-1,2021-11-01,nhl,Colorado
2021-11-06,Columbus Blue Jackets,1,2021-11-01,nhl,Columbus
2021-11-06,Detroit Red Wings,1,2021-11-01,nhl,Detroit
2021-11-06,Florida Panthers,1,2021-11-01,nhl,Florida
2021-11-06,Minnesota Wild,1,2021-11-01,nhl,Minnesota
2021-11-06,Montreal Canadiens,-1,2021-11-01,nhl,Montreal
2021-11-06,New Jersey Devils,1,2021-11-01,nhl,New Jersey
2021-11-06,New York Islanders,1,2021-11-01,nhl,New York
2021-11-06,New York Rangers,-1,2021-11-01,nhl,New York
2021-11-06,Ottawa Senators,-1,2021-11-01,nhl,Ottawa
2021-11-06,Philadelphia Flyers,1,2021-11-01,nhl,Philadelphia
2021-11-06,Pittsburgh Penguins,-1,2021-11-01,nhl,Pittsburgh
2021-11-06,San Jose Sharks,-1,2021-11-01,nhl,San Jose
2021-11-06,Seattle Kraken,-1,2021-11-01,nhl,Seattle
2021-11-06,Tampa Bay Lightning,1,2021-11-01,nhl,Tampa Bay
2021-11-06,Toronto Maple Leafs,1,2021-11-01,nhl,Toronto
2021-11-06,Vegas Golden Knights,1,2021-11-01,nhl,Vegas
2021-11-06,Washington Capitals,-1,2021-11-01,nhl,Washington
2021-11-06,Winnipeg Jets,-1,2021-11-01,nhl,Winnipeg
2021-11-07,Anaheim Ducks,1,2021-11-01,nhl,Anaheim
2021-11-07,Chicago Blackhawks,1,2021-11-01,nhl,Chicago
2021-11-07,Dallas Stars,-1,2021-11-01,nhl,Dallas
2021-11-07,Detroit Red Wings,1,2021-11-01,nhl,Detroit
2021-11-07,Minnesota Wild,1,2021-11-01,nhl,Minnesota
2021-11-07,Nashville Predators,-1,2021-11-01,nhl,Nashville
2021-11-07,New York Islanders,-1,2021-11-01,nhl,New York
2021-11-07,St. Louis Blues,-1,2021-11-01,nhl,St. Louis
2021-11-07,Vancouver Canucks,1,2021-11-01,nhl,Vancouver
2021-11-07,Vegas Golden Knights,-1,2021-11-01,nhl,Vegas
2021-11-08,Buffalo Sabres,-1,2021-11-01,nhl,Buffalo
2021-11-08,Florida Panthers,-1,2021-11-01,nhl,Florida
2021-11-08,Los Angeles Kings,1,2021-11-01,nhl,Los Angeles
2021-11-08,New York Rangers,1,2021-11-01,nhl,New York
2021-11-08,Toronto Maple Leafs,-1,2021-11-01,nhl,Toronto
2021-11-08,Washington Capitals,1,2021-11-01,nhl,Washington
2021-11-09,Anaheim Ducks,1,2021-11-01,nhl,Anaheim
2021-11-09,Boston Bruins,1,2021-11-01,nhl,Boston
2021-11-09,Calgary Flames,-1,2021-11-01,nhl,Calgary
2021-11-09,Carolina Hurricanes,1,2021-11-01,nhl,Carolina
2021-11-09,Chicago Blackhawks,1,2021-11-01,nhl,Chicago
2021-11-09,Detroit Red Wings,1,2021-11-01,nhl,Detroit
2021-11-09,Edmonton Oilers,-1,2021-11-01,nhl,Edmonton
2021-11-09,Florida Panthers,-1,2021-11-01,nhl,Florida
2021-11-09,Los Angeles Kings,1,2021-11-01,nhl,Los Angeles
2021-11-09,Montreal Canadiens,-1,2021-11-01,nhl,Montreal
2021-11-09,New Jersey Devils,1,2021-11-01,nhl,New Jersey
2021-11-09,Ottawa Senators,-1,2021-11-01,nhl,Ottawa
2021-11-09,Pittsburgh Penguins,-1,2021-11-01,nhl,Pittsburgh
2021-11-09,San Jose Sharks,1,2021-11-01,nhl,San Jose
2021-11-09,Seattle Kraken,-1,2021-11-01,nhl,Seattle
2021-11-09,St. Louis Blues,1,2021-11-01,nhl,St. Louis
2021-11-09,Tampa Bay Lightning,-1,2021-11-01,nhl,Tampa Bay
2021-11-09,Vancouver Canucks,-1,2021-11-01,nhl,Vancouver
2021-11-09,Vegas Golden Knights,1,2021-11-01,nhl,Vegas
2021-11-09,Winnipeg Jets,-1,2021-11-01,nhl,Winnipeg
2021-11-10,Arizona Coyotes,-1,2021-11-01,nhl,Arizona
2021-11-10,Dallas Stars,-1,2021-11-01,nhl,Dallas
2021-11-10,Minnesota Wild,1,2021-11-01,nhl,Minnesota
2021-11-10,Nashville Predators,1,2021-11-01,nhl,Nashville
2021-11-10,Philadelphia Flyers,-1,2021-11-01,nhl,Philadelphia
2021-11-10,Toronto Maple Leafs,1,2021-11-01,nhl,Toronto
2021-11-11,Anaheim Ducks,1,2021-11-01,nhl,Anaheim
2021-11-11,Boston Bruins,-1,2021-11-01,nhl,Boston
2021-11-11,Calgary Flames,-1,2021-11-01,nhl,Calgary
2021-11-11,Colorado Avalanche,1,2021-11-01,nhl,Colorado
2021-11-11,Detroit Red Wings,-1,2021-11-01,nhl,Detroit
2021-11-11,Edmonton Oilers,1,2021-11-01,nhl,Edmonton
2021-11-11,Florida Panthers,-1,2021-11-01,nhl,Florida
2021-11-11,Los Angeles Kings,1,2021-11-01,nhl,Los Angeles
2021-11-11,Minnesota Wild,-1,2021-11-01,nhl,Minnesota
2021-11-11,Montreal Canadiens,1,2021-11-01,nhl,Montreal
2021-11-11,Nashville Predators,1,2021-11-01,nhl,Nashville
2021-11-11,New Jersey Devils,1,2021-11-01,nhl,New Jersey
2021-11-11,New York Islanders,-1,2021-11-01,nhl,New York
2021-11-11,Ottawa Senators,-1,2021-11-01,nhl,Ottawa
2021-11-11,Pittsburgh Penguins,1,2021-11-01,nhl,Pittsburgh
2021-11-11,San Jose Sharks,-1,2021-11-01,nhl,San Jose
2021-11-11,Seattle Kraken,-1,2021-11-01,nhl,Seattle
2021-11-11,St. Louis Blues,-1,2021-11-01,nhl,St. Louis
2021-11-11,Vancouver Canucks,-1,2021-11-01,nhl,Vancouver
2021-11-11,Vegas Golden Knights,1,2021-11-01,nhl,Vegas
2021-11-11,Washington Capitals,1,2021-11-01,nhl,Washington
2021-11-11,Winnipeg Jets,1,2021-11-01,nhl,Winnipeg
2021-11-12,Arizona Coyotes,-1,2021-11-01,nhl,Arizona
2021-11-12,Buffalo Sabres,1,2021-11-01,nhl,Buffalo
2021-11-12,Calgary Flames,-1,2021-11-01,nhl,Calgary
2021-11-12,Carolina Hurricanes,-1,2021-11-01,nhl,Carolina
2021-11-12,Chicago Blackhawks,1,2021-11-01,nhl,Chicago
2021-11-12,Columbus Blue Jackets,-1,2021-11-01,nhl,Columbus
2021-11-12,Edmonton Oilers,-1,2021-11-01,nhl,Edmonton
2021-11-12,Philadelphia Flyers,1,2021-11-01,nhl,Philadelphia
2021-11-12,Toronto Maple Leafs,1,2021-11-01,nhl,Toronto
2021-11-12,Washington Capitals,1,2021-11-01,nhl,Washington
2021-11-13,Arizona Coyotes,-1,2021-11-01,nhl,Arizona
2021-11-13,Boston Bruins,1,2021-11-01,nhl,Boston
2021-11-13,Buffalo Sabres,-1,2021-11-01,nhl,Buffalo
2021-11-13,Carolina Hurricanes,1,2021-11-01,nhl,Carolina
2021-11-13,Colorado Avalanche,1,2021-11-01,nhl,Colorado
2021-11-13,Columbus Blue Jackets,-1,2021-11-01,nhl,Columbus
2021-11-13,Dallas Stars,1,2021-11-01,nhl,Dallas
2021-11-13,Detroit Red Wings,1,2021-11-01,nhl,Detroit
2021-11-13,Florida Panthers,-1,2021-11-01,nhl,Florida
2021-11-13,Los Angeles Kings,-1,2021-11-01,nhl,Los Angeles
2021-11-13,Minnesota Wild,1,2021-11-01,nhl,Minnesota
2021-11-13,Montreal Canadiens,-1,2021-11-01,nhl,Montreal
2021-11-13,Nashville Predators,1,2021-11-01,nhl,Nashville
2021-11-13,New Jersey Devils,-1,2021-11-01,nhl,New Jersey
2021-11-13,New York Rangers,1,2021-11-01,nhl,New York
2021-11-13,Ottawa Senators,1,2021-11-01,nhl,Ottawa
2021-11-13,Philadelphia Flyers,-1,2021-11-01,nhl,Philadelphia
2021-11-13,Pittsburgh Penguins,-1,2021-11-01,nhl,Pittsburgh
2021-11-13,San Jose Sharks,-1,2021-11-01,nhl,San Jose
2021-11-13,Seattle Kraken,-1,2021-11-01,nhl,Seattle
2021-11-13,St. Louis Blues,-1,2021-11-01,nhl,St. Louis
2021-11-13,Tampa Bay Lightning,1,2021-11-01,nhl,Tampa Bay
2021-11-13,Toronto Maple Leafs,1,2021-11-01,nhl,Toronto
2021-11-13,Vancouver Canucks,-1,2021-11-01,nhl,Vancouver
2021-11-13,Vegas Golden Knights,1,2021-11-01,nhl,Vegas
2021-11-13,Winnipeg Jets,1,2021-11-01,nhl,Winnipeg
2021-11-14,Anaheim Ducks,1,2021-11-01,nhl,Anaheim
2021-11-14,Boston Bruins,1,2021-11-01,nhl,Boston
2021-11-14,Calgary Flames,1,2021-11-01,nhl,Calgary
2021-11-14,Edmonton Oilers,1,2021-11-01,nhl,Edmonton
2021-11-14,Montreal Canadiens,-1,2021-11-01,nhl,Montreal
2021-11-14,New Jersey Devils,-1,2021-11-01,nhl,New Jersey
2021-11-14,New York Rangers,1,2021-11-01,nhl,New York
2021-11-14,Ottawa Senators,-1,2021-11-01,nhl,Ottawa
2021-11-14,Pittsburgh Penguins,-1,2021-11-01,nhl,Pittsburgh
2021-11-14,St. Louis Blues,-1,2021-11-01,nhl,St. Louis
2021-11-14,Vancouver Canucks,-1,2021-11-01,nhl,Vancouver
2021-11-14,Washington Capitals,1,2021-11-01,nhl,Washington
2021-11-15,Columbus Blue Jackets,1,2021-11-01,nhl,Columbus
2021-11-15,Detroit Red Wings,-1,2021-11-01,nhl,Detroit
2021-11-15,New York Islanders,-1,2021-11-01,nhl,New York
2021-11-15,Tampa Bay Lightning,1,2021-11-01,nhl,Tampa Bay
2021-11-16,Anaheim Ducks,1,2021-11-01,nhl,Anaheim
2021-11-16,Arizona Coyotes,1,2021-11-01,nhl,Arizona
2021-11-16,Buffalo Sabres,1,2021-11-01,nhl,Buffalo
2021-11-16,Calgary Flames,-1,2021-11-01,nhl,Calgary
2021-11-16,Carolina Hurricanes,1,2021-11-01,nhl,Carolina
2021-11-16,Dallas Stars,1,2021-11-01,nhl,Dallas
2021-11-16,Detroit Red Wings,-1,2021-11-01,nhl,Detroit
2021-11-16,Edmonton Oilers,-1,2021-11-01,nhl,Edmonton
2021-11-16,Florida Panthers,1,2021-11-01,nhl,Florida
2021-11-16,Minnesota Wild,-1,2021-11-01,nhl,Minnesota
2021-11-16,Montreal Canadiens,-1,2021-11-01,nhl,Montreal
2021-11-16,Nashville Predators,-1,2021-11-01,nhl,Nashville
2021-11-16,New York Islanders,-1,2021-11-01,nhl,New York
2021-11-16,New York Rangers,1,2021-11-01,nhl,New York
2021-11-16,Philadelphia Flyers,1,2021-11-01,nhl,Philadelphia
2021-11-16,Pittsburgh Penguins,-1,2021-11-01,nhl,Pittsburgh
2021-11-16,San Jose Sharks,1,2021-11-01,nhl,San Jose
2021-11-16,St. Louis Blues,-1,2021-11-01,nhl,St. Louis
2021-11-16,Toronto Maple Leafs,1,2021-11-01,nhl,Toronto
2021-11-16,Vegas Golden Knights,-1,2021-11-01,nhl,Vegas
2021-11-16,Washington Capitals,-1,2021-11-01,nhl,Washington
2021-11-16,Winnipeg Jets,1,2021-11-01,nhl,Winnipeg
2021-11-17,Chicago Blackhawks,1,2021-11-01,nhl,Chicago
2021-11-17,Colorado Avalanche,1,2021-11-01,nhl,Colorado
2021-11-17,Los Angeles Kings,-1,2021-11-01,nhl,Los Angeles
2021-11-17,Seattle Kraken,-1,2021-11-01,nhl,Seattle
2021-11-17,Vancouver Canucks,-1,2021-11-01,nhl,Vancouver
2021-11-17,Washington Capitals,1,2021-11-01,nhl,Washington
2021-11-18,Anaheim Ducks,-1,2021-11-01,nhl,Anaheim
2021-11-18,Arizona Coyotes,-1,2021-11-01,nhl,Arizona
2021-11-18,Buffalo Sabres,-1,2021-11-01,nhl,Buffalo
2021-11-18,Calgary Flames,1,2021-11-01,nhl,Calgary
2021-11-18,Carolina Hurricanes,1,2021-11-01,nhl,Carolina
2021-11-18,Columbus Blue Jackets,1,2021-11-01,nhl,Columbus
2021-11-18,Dallas Stars,-1,2021-11-01,nhl,Dallas
2021-11-18,Detroit Red Wings,-1,2021-11-01,nhl,Detroit
2021-11-18,Edmonton Oilers,1,2021-11-01,nhl,Edmonton
2021-11-18,Florida Panthers,1,2021-11-01,nhl,Florida
2021-11-18,Minnesota Wild,1,2021-11-01,nhl,Minnesota
2021-11-18,Montreal Canadiens,-1,2021-11-01,nhl,Montreal
2021-11-18,New Jersey Devils,-1,2021-11-01,nhl,New Jersey
2021-11-18,New York Rangers,-1,2021-11-01,nhl,New York
2021-11-18,Philadelphia Flyers,-1,2021-11-01,nhl,Philadelphia
2021-11-18,Pittsburgh Penguins,1,2021-11-01,nhl,Pittsburgh
2021-11-18,San Jose Sharks,-1,2021-11-01,nhl,San Jose
2021-11-18,St. Louis Blues,1,2021-11-01,nhl,St. Louis
2021-11-18,Tampa Bay Lightning,1,2021-11-01,nhl,Tampa Bay
2021-11-18,Toronto Maple Leafs,1,2021-11-01,nhl,Toronto
2021-11-18,Vegas Golden Knights,1,2021-11-01,nhl,Vegas
2021-11-18,Winnipeg Jets,-1,2021-11-01,nhl,Winnipeg
2021-11-19,Colorado Avalanche,1,2021-11-01,nhl,Colorado
2021-11-19,Seattle Kraken,-1,2021-11-01,nhl,Seattle
2021-11-19,Vancouver Canucks,1,2021-11-01,nhl,Vancouver
2021-11-19,Winnipeg Jets,-1,2021-11-01,nhl,Winnipeg
2021-11-20,Arizona Coyotes,1,2021-11-01,nhl,Arizona
2021-11-20,Boston Bruins,1,2021-11-01,nhl,Boston
2021-11-20,Calgary Flames,1,2021-11-01,nhl,Calgary
2021-11-20,Carolina Hurricanes,1,2021-11-01,nhl,Carolina
2021-11-20,Chicago Blackhawks,-1,2021-11-01,nhl,Chicago
2021-11-20,Columbus Blue Jackets,-1,2021-11-01,nhl,Columbus
2021-11-20,Dallas Stars,1,2021-11-01,nhl,Dallas
2021-11-20,Detroit Red Wings,-1,2021-11-01,nhl,Detroit
2021-11-20,Edmonton Oilers,1,2021-11-01,nhl,Edmonton
2021-11-20,Florida Panthers,1,2021-11-01,nhl,Florida
2021-11-20,Los Angeles Kings,-1,2021-11-01,nhl,Los Angeles
2021-11-20,Minnesota Wild,-1,2021-11-01,nhl,Minnesota
2021-11-20,Montreal Canadiens,1,2021-11-01,nhl,Montreal
2021-11-20,Nashville Predators,-1,2021-11-01,nhl,Nashville
2021-11-20,New Jersey Devils,1,2021-11-01,nhl,New Jersey
2021-11-20,New York Islanders,-1,2021-11-01,nhl,New York
2021-11-20,Philadelphia Flyers,-1,2021-11-01,nhl,Philadelphia
2021-11-20,Pittsburgh Penguins,1,2021-11-01,nhl,Pittsburgh
2021-11-20,San Jose Sharks,-1,2021-11-01,nhl,San Jose
